application_id,post_id,seller_id,apply_date,apply_price
54,4,136,2025-05-24 23:32:11,80312
55,47,45,2025-04-22 23:32:11,109942
56,185,115,2025-06-03 23:32:11,72541
57,93,30,2025-06-18 23:32:11,133072
58,197,117,2024-10-13 23:32:11,98101
59,172,126,2024-12-10 23:32:11,97027
60,163,134,2025-06-08 23:32:11,82307
61,188,108,2025-04-04 23:32:11,70898
62,8,32,2024-11-03 23:32:11,78728
63,61,122,2024-12-26 23:32:11,48624
64,148,6,2024-09-07 23:32:11,108007
65,115,106,2024-12-28 23:32:11,63818
66,168,132,2024-09-22 23:32:11,72784
67,147,133,2024-10-04 23:32:11,159957
68,52,22,2025-07-08 23:32:11,113118
69,193,11,2025-06-13 23:32:11,79278
70,4,137,2025-05-28 23:32:11,59277
71,18,18,2025-04-24 23:32:11,136001
72,123,23,2025-01-13 23:32:11,104712
73,74,69,2025-02-16 23:32:11,89850
74,45,25,2024-11-21 23:32:11,103088
75,193,25,2025-06-10 23:32:11,76829
76,188,58,2025-04-14 23:32:11,53792
77,62,25,2025-06-29 23:32:11,89261
78,75,10,2024-11-21 23:32:11,77452
79,150,149,2025-03-29 23:32:11,153555
80,143,126,2025-02-13 23:32:11,157304
81,63,54,2025-01-06 23:32:11,83323
82,194,18,2024-08-24 23:32:11,107766
83,158,144,2024-08-25 23:32:11,69214
84,183,48,2025-07-14 23:32:11,98998
85,135,132,2025-07-09 23:32:11,113673
86,158,59,2024-08-30 23:32:11,67418
87,122,7,2025-03-28 23:32:11,151088
88,180,124,2025-07-01 23:32:11,68572
89,65,17,2025-05-21 23:32:11,79067
90,54,8,2025-04-04 23:32:11,87274
91,54,28,2025-04-05 23:32:11,97612
92,134,101,2024-11-01 23:32:11,55240
93,18,71,2025-05-06 23:32:11,169412
94,56,29,2024-12-03 23:32:11,101504
95,74,19,2025-02-25 23:32:11,90751
96,109,27,2025-05-28 23:32:11,91796
97,29,25,2025-01-19 23:32:11,90862
98,3,150,2025-06-21 23:32:11,69173
99,174,30,2025-05-03 23:32:11,69184
100,51,141,2025-06-12 23:32:11,60069
101,162,100,2025-06-03 23:32:11,57090
102,192,73,2025-05-07 23:32:11,106854
103,57,70,2024-12-05 23:32:11,80765
104,93,148,2025-06-17 23:32:11,146338
105,80,82,2024-10-03 23:32:11,77954
106,132,22,2024-11-16 23:32:11,61597
107,69,34,2024-08-20 23:32:11,172258
108,182,95,2024-11-25 23:32:11,109055
109,182,128,2024-11-21 23:32:11,132775
110,104,83,2025-07-04 23:32:11,119029
111,100,116,2025-02-19 23:32:11,136842
112,103,17,2025-06-18 23:32:11,42297
113,47,107,2025-04-28 23:32:11,107546
114,150,4,2025-03-30 23:32:11,104077
115,80,140,2024-09-29 23:32:11,104474
116,160,65,2025-02-06 23:32:11,102400
117,119,130,2024-11-25 23:32:11,79903
118,185,19,2025-06-06 23:32:11,62973
119,80,75,2024-10-11 23:32:11,77186
120,115,27,2024-12-18 23:32:11,69254
121,78,144,2024-09-26 23:32:11,115883
122,45,84,2024-11-15 23:32:11,103712
123,168,125,2024-09-28 23:32:11,87722
124,61,77,2024-12-25 23:32:11,57863
125,63,47,2024-12-31 23:32:11,108287
126,186,22,2025-03-16 23:32:11,124562
127,183,27,2025-07-13 23:32:11,114624
128,49,89,2024-09-26 23:32:11,120477
129,123,76,2025-01-13 23:32:11,80395
130,168,20,2024-09-25 23:32:11,85735
131,112,124,2025-04-20 23:32:11,91988
132,40,130,2024-09-02 23:32:11,101443
133,43,15,2024-07-28 23:32:11,62035
134,148,125,2024-09-06 23:32:11,132423
135,12,110,2024-11-13 23:32:11,159453
136,155,142,2024-10-05 23:32:11,159241
137,134,150,2024-10-26 23:32:11,69097
138,71,22,2025-01-21 23:32:11,59959
139,104,100,2025-07-07 23:32:11,120069
140,50,148,2024-11-27 23:32:11,81687
141,33,109,2025-03-04 23:32:11,98301
142,117,149,2024-07-31 23:32:11,64149
143,179,140,2025-05-18 23:32:11,73986
144,18,61,2025-04-30 23:32:11,125483
145,19,44,2024-12-07 23:32:11,147639
146,192,44,2025-05-02 23:32:11,117338
147,40,116,2024-08-31 23:32:11,93357
148,139,79,2024-10-19 23:32:11,116446
149,47,99,2025-04-21 23:32:11,97302
150,188,32,2025-04-08 23:32:11,74132
151,148,35,2024-09-04 23:32:11,133174
152,118,95,2024-11-18 23:32:11,113845
153,117,89,2024-07-31 23:32:11,63160
154,148,87,2024-09-10 23:32:11,149872
155,88,88,2025-07-14 23:32:11,124370
156,158,16,2024-08-22 23:32:11,71944
157,115,127,2024-12-27 23:32:11,58257
158,2,81,2025-06-11 23:32:11,139780
159,118,8,2024-11-25 23:32:11,115057
160,50,131,2024-12-07 23:32:11,67355
161,159,108,2024-09-13 23:32:11,153453
162,29,73,2025-01-20 23:32:11,111241
163,27,102,2025-03-12 23:32:11,114782
164,15,141,2024-11-16 23:32:11,94424
165,160,52,2025-01-30 23:32:11,102974
166,65,42,2025-05-18 23:32:11,71919
167,39,43,2024-09-18 23:32:11,81582
168,29,39,2025-01-16 23:32:11,100118
169,166,11,2025-06-11 23:32:11,116320
170,13,38,2024-09-04 23:32:11,94961
171,109,134,2025-06-04 23:32:11,110749
172,194,65,2024-08-24 23:32:11,149269
173,100,52,2025-02-15 23:32:11,163120
174,9,11,2025-03-28 23:32:11,136856
175,36,140,2024-07-31 23:32:11,95369
176,14,51,2025-07-13 23:32:11,106499
177,85,88,2025-07-03 23:32:11,136088
178,88,116,2025-07-09 23:32:11,129098
179,168,49,2024-09-25 23:32:11,79962
180,13,92,2024-09-08 23:32:11,96951
181,71,23,2025-01-09 23:32:11,55648
182,192,57,2025-05-10 23:32:11,142519
183,43,97,2024-07-20 23:32:11,51840
184,52,30,2025-07-19 23:32:11,141279
185,141,93,2024-10-06 23:32:11,65138
186,157,102,2024-12-31 23:32:11,60987
187,85,64,2025-06-30 23:32:11,121133
188,57,64,2024-12-08 23:32:11,72985
189,9,22,2025-03-22 23:32:11,163958
190,62,74,2025-06-25 23:32:11,93512
191,193,125,2025-06-02 23:32:11,63666
192,84,1,2024-10-22 23:32:11,109432
193,51,4,2025-06-02 23:32:11,59580
194,158,4,2024-08-20 23:32:11,50809
195,80,35,2024-10-06 23:32:11,84792
196,147,36,2024-09-30 23:32:11,143484
197,65,27,2025-05-22 23:32:11,73295
198,42,16,2025-03-11 23:32:11,55055
199,100,31,2025-02-13 23:32:11,147378
200,58,48,2024-08-25 23:32:11,91031
201,58,132,2024-08-25 23:32:11,68731
202,132,66,2024-11-18 23:32:11,88260
203,54,18,2025-04-09 23:32:11,95090
204,119,1,2024-11-25 23:32:11,83310
205,158,134,2024-08-25 23:32:11,64778
206,35,86,2024-11-17 23:32:11,117308
207,166,101,2025-06-15 23:32:11,135401
208,50,12,2024-12-01 23:32:11,82850
209,58,137,2024-08-17 23:32:11,68927
210,43,117,2024-07-18 23:32:11,63278
211,69,18,2024-08-10 23:32:11,126019
212,146,108,2024-10-26 23:32:11,99249
213,13,68,2024-09-13 23:32:11,98378
214,194,98,2024-09-03 23:32:11,109862
215,114,127,2024-07-25 23:32:11,76031
216,93,85,2025-06-15 23:32:11,129196
217,166,142,2025-06-08 23:32:11,131998
218,160,119,2025-01-26 23:32:11,94692
219,71,150,2025-01-12 23:32:11,56074
220,63,53,2025-01-06 23:32:11,90978
221,58,122,2024-08-18 23:32:11,80680
222,192,131,2025-05-03 23:32:11,138800
223,43,35,2024-07-22 23:32:11,57083
224,57,77,2024-12-14 23:32:11,75051
225,10,8,2025-03-08 23:32:11,98922
226,74,132,2025-02-15 23:32:11,72757
227,71,136,2025-01-14 23:32:11,54268
228,115,9,2024-12-29 23:32:11,53120
229,119,15,2024-11-22 23:32:11,56996
230,62,22,2025-06-23 23:32:11,104359
231,69,1,2024-08-17 23:32:11,169575
232,188,113,2025-04-09 23:32:11,75221
233,157,112,2025-01-04 23:32:11,52398
234,33,134,2025-02-26 23:32:11,139257
235,25,141,2025-04-16 23:32:11,136512
236,25,59,2025-04-17 23:32:11,115947
237,160,56,2025-02-05 23:32:11,101849
238,11,68,2025-05-06 23:32:11,79092
239,193,67,2025-06-10 23:32:11,68913
240,141,24,2024-09-30 23:32:11,73699
241,15,25,2024-11-08 23:32:11,74346
242,192,82,2025-05-02 23:32:11,130975
243,71,114,2025-01-19 23:32:11,44628
244,197,111,2024-10-09 23:32:11,108296
245,27,35,2025-03-08 23:32:11,98195
246,188,14,2025-04-06 23:32:11,69928
247,155,51,2024-10-14 23:32:11,162569
248,33,19,2025-02-23 23:32:11,132717
249,160,92,2025-02-06 23:32:11,94941
250,27,28,2025-03-12 23:32:11,90626
251,78,37,2024-10-04 23:32:11,130048
252,173,80,2024-07-21 23:32:11,115456
253,153,54,2024-10-17 23:32:11,99702
254,193,46,2025-06-08 23:32:11,57231
255,152,85,2025-07-04 23:32:11,147960
256,36,65,2024-07-27 23:32:11,81083
257,109,87,2025-06-01 23:32:11,115101
258,168,77,2024-09-29 23:32:11,76562
259,140,149,2024-12-17 23:32:11,111137
260,159,45,2024-09-13 23:32:11,131828
261,199,47,2024-12-02 23:32:11,54319
262,9,50,2025-03-25 23:32:11,149794
263,159,137,2024-09-06 23:32:11,153139
264,47,21,2025-04-30 23:32:11,95733
265,71,77,2025-01-08 23:32:11,45929
266,176,117,2025-03-10 23:32:11,57425
267,62,25,2025-06-25 23:32:11,82931
268,8,75,2024-11-02 23:32:11,62075
269,8,75,2024-11-07 23:32:11,58258
270,4,117,2025-05-19 23:32:11,55753
271,27,146,2025-03-02 23:32:11,103496
272,155,35,2024-10-17 23:32:11,144220
273,36,126,2024-08-01 23:32:11,89092
274,21,147,2025-07-09 23:32:11,100825
275,21,73,2025-07-03 23:32:11,96582
276,171,80,2025-04-22 23:32:11,105527
277,25,34,2025-04-14 23:32:11,136534
278,8,21,2024-11-03 23:32:11,57225
279,181,48,2024-09-11 23:32:11,66615
280,182,10,2024-12-02 23:32:11,139836
281,25,88,2025-04-09 23:32:11,126127
282,166,15,2025-06-05 23:32:11,134242
283,11,109,2025-05-01 23:32:11,60698
284,143,16,2025-02-14 23:32:11,137466
285,117,5,2024-07-27 23:32:11,84649
286,192,2,2025-05-13 23:32:11,148389
287,63,109,2025-01-05 23:32:11,90228
288,181,8,2024-09-03 23:32:11,65384
289,188,9,2025-04-14 23:32:11,57786
290,173,42,2024-07-28 23:32:11,106168
291,15,12,2024-11-09 23:32:11,76395
292,123,52,2025-01-10 23:32:11,92330
293,91,60,2024-12-26 23:32:11,106021
294,109,85,2025-05-28 23:32:11,101685
295,158,89,2024-08-21 23:32:11,57941
296,89,130,2025-01-02 23:32:11,85588
297,179,106,2025-05-24 23:32:11,69527
298,97,99,2025-06-15 23:32:11,51408
299,148,69,2024-09-02 23:32:11,127021
300,103,126,2025-06-18 23:32:11,58180
